,Tempo,MFCC average,MFCC variance,Spectral centroid average,Spectral centroid variance,Spectral bandwidth average,Spectral bandwidth variance,Spectral roll-off average,Spectral roll-off variance,Spectral contrast average,Spectral contrast variance,Spectral flatness average,Spectral flatness variance,Zero crossing rate average,Zero crossing rate variance,Genre
blues0_0,-0.01913197084341754,0.21184507067139857,-0.2435844268562574,-0.4965238803028146,-0.6926922828786372,-0.40778256572256005,-0.6000909189723297,-0.4135903146288065,-0.715684474770133,0.5654248205261068,0.6921040381815283,-0.6117215365947998,-0.4216319445289661,-0.4203316886369851,-0.5448838382044474,blues
blues0_1,-0.01913197084341754,0.3601940762064723,-0.11768853502009868,-0.518306326582557,-0.7427466601212456,-0.2901976894225012,-0.4533737338138383,-0.37927899061463505,-0.6372691528467423,0.527582893662425,0.5774805221295076,-0.623796240464352,-0.42907027617346355,-0.6627438005993278,-0.7683582074097854,blues
blues0_2,-0.01913197084341754,0.25275779977367013,-0.2836333137124808,-0.675973792909331,-0.8088154683574661,-0.47686437144805677,-0.5891914369941916,-0.5853587329960416,-0.7528245710692042,0.35214356576336125,0.550475721336911,-0.6443861591992784,-0.433586442457022,-0.7483982849079872,-0.7914992060348242,blues
blues0_3,-0.01913197084341754,0.5128096887180406,-0.38807643704662786,-0.6494612726586018,-0.8029668575826363,-0.4512786532293497,-0.5827880691622314,-0.556977761280616,-0.781372742516484,0.32426868658714264,0.6275432943743382,-0.6283185153902786,-0.42673423584851583,-0.6032155875662832,-0.744533248788132,blues
blues0_4,0.1755897749179129,0.3016602434053732,-0.46626970739065043,-0.2485336178215146,-0.39767529487968495,-0.11554846325026237,-0.22787694506852502,-0.08720913990142305,-0.29057963184619534,0.39539194877512684,0.6565986862028254,-0.49975164681318746,-0.40159008140076297,-0.3045823855171757,-0.4294512678038593,blues
blues0_5,-0.01913197084341754,0.3185481556231261,-0.359555068463283,-0.2878639654833724,-0.5116528838039192,-0.15332320003665703,-0.29254282164361595,-0.158585165782751,-0.354963906185528,0.34270126848529026,0.5667117456312069,-0.5244460059035397,-0.4087854485599461,-0.3250865477841133,-0.503073856198695,blues
blues0_6,-0.01913197084341754,0.1831683874428956,-0.36646876818022595,-0.6754695045668361,-0.8350496576219403,-0.5661994417750115,-0.6342851312109107,-0.6344959377570752,-0.8603590757643944,0.5524187815279965,0.6343061472351138,-0.655882227450466,-0.43457079030487084,-0.7156577677398138,-0.8065400751175799,blues
blues0_7,-0.01913197084341754,0.13928387346707014,-0.33158781991930975,-0.5401889152209931,-0.7443715064273745,-0.5689663500372756,-0.7068282224581584,-0.5311383691217971,-0.7711685238631849,0.6777895509598539,0.6518458620644825,-0.6327026853786409,-0.4307340287949482,-0.3631184616663357,-0.5919376859262906,blues
blues1_0,1.928085486769887,-0.06023924062448645,0.4279275371929799,-0.8970128141257363,-0.8341669943401889,-0.40212369646588747,-0.31876733977172916,-0.7696232508499184,-0.6001125871517226,0.5296156994415542,0.7138977446420498,-0.7043942867068187,-0.43396217921317504,-1.010983846842641,-0.7737185966989271,blues
blues1_1,-0.5059363352467436,-0.2734518363947013,0.4966783882898502,-1.1361995629021988,-0.9295871519949022,-1.2796734015823443,-1.1265911498179206,-1.1076533318784092,-0.9663750808722477,0.4138173359081,0.5905389722234914,-0.7447433784382209,-0.43731772465668417,-0.7054056866063451,-0.4605241006863745,blues
blues1_2,-0.19615173971735408,-0.2666989335137094,1.005633694992458,-1.0195025271972924,-0.7099158597661122,-0.6635469386096912,-0.5382387002467446,-0.8890774900103625,-0.4468711363703252,0.0709446646019793,0.16970118538705256,-0.6840655041038531,-0.42886120756231977,-1.0781184426521297,-0.6596836782465191,blues
blues1_3,2.377443361603726,-0.16995972709397328,0.5428491215070806,-0.7787011911775801,-0.4892085359375614,-0.2812030893445618,-0.2413708704121154,-0.6150104944897685,-0.3639577359333189,0.3759995405202294,0.739682025557681,-0.6620993751803428,-0.4214077566618477,-0.9554241813451324,-0.38116391606814837,blues
